Cod. Pais de destino;Cod. Cuidad de origen;Cantidad;Valor de Dolares;Valor en pesos
USA;AXM;84,03;111249,41;440089316,02
PAN;AXM;9,96;8120,31;32122971,91
DEU;BOG;294,00;1837,50;7245317,62
DEU;BOG;195,00;679,25;2678303,12
DEU;BOG;360,00;1918,00;7562731,54
DEU;BOG;60,00;277,50;1094190,82
DEU;BOG;26,00;130,98;523724,83
DEU;BOG;299,00;1511,17;6042428,35
DEU;BOG;12,00;96,90;387455,61
DEU;BOG;3,00;21,42;85648,08
DEU;BOG;25453,00;13980,34;55900529,29
DEU;BOG;8320,00;21815,44;85791181,18
DEU;BOG;2540,00;1494,74;5868005,44
DEU;BOG;40,00;2,01;7890,79
DEU;BOG;36,00;15,00;58886,55
DEU;BOG;31,00;1500,00;5998815,00
DEU;BOG;3700,00;592,00;2324055,84
DEU;BOG;32840,00;5569,20;21866887,69
DEU;BOG;69,00;110274,04;436560252,76
DEU;BOG;1400,00;252,00;991012,68
DEU;BOG;25600,00;4411,20;17347441,00
DEU;BOG;500,00;1500,00;5974725,00
DEU;BOG;30,63;2502,00;9965841,30
DEU;BOG;10600,00;1908,00;7629157,08
DEU;BOG;81040,00;14528,00;57782796,92
DEU;BOG;50136,00;13865,57;55148535,49
DEU;BOG;2310,00;371,85;1496030,63
DEU;BOG;11830,00;2095,90;8432245,83
DEU;BOG;143,50;560,00;2234148,00
DEU;BOG;1374,20;6063,50;24190636,42
DEU;BOG;405,00;6055,34;24119327,52
DEU;BOG;560,00;19389,00;77216692,50
DEU;BOG;0,50;22500,11;89621313,14
DEU;BOG;11860,00;7616,40;30073660,05
DEU;BOG;216,00;11475,00;45403820,99
DEU;BOG;277,00;10214,44;40416087,60
DEU;BOG;771,00;14116,37;55855088,15
DEU;BOG;47,00;2639,71;10444698,93
DEU;BOG;110,00;3425,31;13553129,59
DEU;BOG;147,40;33328,16;133293642,94
DEU;BOG;440,00;683,77;2734061,18
DEU;BOG;1780,00;12055,50;48204037,30
DEU;BOG;288,00;214,25;856877,87
